Time resolution is 1 ps
 Block Memory Generator module loading initial data...
 Block Memory Generator data initialization complete.
Block Memory Generator module tb_top.uut.rom.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module tb_top.uut.ram.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Tiempo | addr        | valid ready | wstrb | tx_req | tx_data
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:51
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_tx.sv:84
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
WARNING: 0ns : none of the conditions were true for unique case from File:C:/Users/raque/Documents/Proyectos_Taller_Digitales/project_1/project_1.srcs/sources_1/imports/scr/uart/uart_rx.sv:69
             2945000 | 00000014 |   1     1   |  0000   |   0    |   00
             2955000 | 00000014 |   0     0   |  0000   |   0    |   00
             2975000 | 00000018 |   1     0   |  0000   |   0    |   00
             2985000 | 00000018 |   1     1   |  0000   |   0    |   00
             2995000 | 00000018 |   0     0   |  0000   |   0    |   00
             3005000 | 00000018 |   1     0   |  1111   |   0    |   00
             3015000 | 00000018 |   1     1   |  1111   |   0    |   00
             3025000 | 00000018 |   0     0   |  1111   |   0    |   00
             3045000 | 00000008 |   1     0   |  0000   |   0    |   00
             3055000 | 00000008 |   1     1   |  0000   |   0    |   00
             3065000 | 00000008 |   0     0   |  0000   |   0    |   00
             3085000 | 0000000c |   1     0   |  0000   |   0    |   00
             3095000 | 0000000c |   1     1   |  0000   |   0    |   00
             3105000 | 0000000c |   0     0   |  0000   |   0    |   00
             3125000 | 00000010 |   1     0   |  0000   |   0    |   00
             3135000 | 00000010 |   1     1   |  0000   |   0    |   00
             3145000 | 00000010 |   0     0   |  0000   |   0    |   00
             3155000 | 00000018 |   1     0   |  1111   |   0    |   00
             3165000 | 00000018 |   1     1   |  1111   |   0    |   00
             3175000 | 00000018 |   0     0   |  1111   |   0    |   00
             3195000 | 00000014 |   1     0   |  0000   |   0    |   00
             3205000 | 00000014 |   1     1   |  0000   |   0    |   00
             3215000 | 00000014 |   0     0   |  0000   |   0    |   00
             3235000 | 00000018 |   1     0   |  0000   |   0    |   00
             3245000 | 00000018 |   1     1   |  0000   |   0    |   00
             3255000 | 00000018 |   0     0   |  0000   |   0    |   00
             3265000 | 00000018 |   1     0   |  1111   |   0    |   00
             3275000 | 00000018 |   1     1   |  1111   |   0    |   00
             3285000 | 00000018 |   0     0   |  1111   |   0    |   00
             3305000 | 00000008 |   1     0   |  0000   |   0    |   00
             3315000 | 00000008 |   1     1   |  0000   |   0    |   00
             3325000 | 00000008 |   0     0   |  0000   |   0    |   00
             3345000 | 0000000c |   1     0   |  0000   |   0    |   00
             3355000 | 0000000c |   1     1   |  0000   |   0    |   00
             3365000 | 0000000c |   0     0   |  0000   |   0    |   00
             3385000 | 00000010 |   1     0   |  0000   |   0    |   00
             3395000 | 00000010 |   1     1   |  0000   |   0    |   00
             3405000 | 00000010 |   0     0   |  0000   |   0    |   00
             3415000 | 00000018 |   1     0   |  1111   |   0    |   00
             3425000 | 00000018 |   1     1   |  1111   |   0    |   00
             3435000 | 00000018 |   0     0   |  1111   |   0    |   00
             3455000 | 00000014 |   1     0   |  0000   |   0    |   00
             3465000 | 00000014 |   1     1   |  0000   |   0    |   00
             3475000 | 00000014 |   0     0   |  0000   |   0    |   00
             3495000 | 00000018 |   1     0   |  0000   |   0    |   00
             3505000 | 00000018 |   1     1   |  0000   |   0    |   00
